#U1	H	C	F	X	E	A	L	M	B	G	D
1.61	0.17	0.23	0.12	0.17	0.15	0.16	0.09	0.12	0.19	0.14	0.21
1.63	0.17	0.26	0.12	0.17	0.14	0.17	0.09	0.11	0.19	0.14	0.24
1.66	0.17	0.23	0.13	0.18	0.14	0.15	0.09	0.11	0.21	0.14	0.24
1.68	0.19	0.23	0.13	0.17	0.16	0.15	0.1	0.12	0.19	0.16	0.21
1.7	0.17	0.24	0.13	0.17	0.14	0.16	0.09	0.1	0.19	0.15	0.23
1.73	0.17	0.24	0.13	0.17	0.14	0.15	0.09	0.1	0.2	0.15	0.23
1.75	0.19	0.23	0.14	0.18	0.15	0.15	0.1	0.1	0.19	0.17	0.21
1.78	0.16	0.23	0.13	0.17	0.14	0.15	0.09	0.1	0.19	0.15	0.22
1.8	0.16	0.25	0.13	0.17	0.14	0.16	0.09	0.1	0.19	0.15	0.23
1.83	0.17	0.23	0.15	0.19	0.14	0.15	0.09	0.1	0.2	0.16	0.22
1.85	0.17	0.23	0.13	0.17	0.14	0.15	0.1	0.12	0.19	0.14	0.2
1.88	0.17	0.26	0.13	0.17	0.13	0.17	0.09	0.11	0.19	0.15	0.23
1.9	0.17	0.23	0.13	0.19	0.13	0.15	0.09	0.11	0.2	0.14	0.23
1.92	0.18	0.23	0.12	0.17	0.14	0.15	0.11	0.11	0.19	0.15	0.2
1.95	0.16	0.25	0.12	0.17	0.13	0.17	0.1	0.1	0.19	0.14	0.23
1.97	0.16	0.23	0.12	0.18	0.13	0.15	0.1	0.1	0.2	0.14	0.23
2	0.18	0.23	0.13	0.17	0.14	0.15	0.1	0.1	0.18	0.16	0.2
2.02	0.16	0.23	0.12	0.17	0.12	0.15	0.09	0.09	0.18	0.14	0.22
2.05	0.16	0.25	0.12	0.17	0.12	0.15	0.09	0.09	0.19	0.14	0.23
2.07	0.17	0.23	0.13	0.19	0.13	0.15	0.09	0.09	0.19	0.16	0.21
2.1	0.16	0.23	0.11	0.17	0.12	0.15	0.09	0.1	0.18	0.14	0.2
2.12	0.16	0.26	0.11	0.17	0.12	0.16	0.09	0.1	0.18	0.14	0.23
2.14	0.16	0.24	0.12	0.18	0.12	0.15	0.09	0.1	0.18	0.15	0.23
2.17	0.16	0.26	0.11	0.16	0.13	0.17	0.1	0.11	0.17	0.14	0.22
2.19	0.15	0.26	0.11	0.17	0.12	0.17	0.09	0.1	0.19	0.14	0.22
2.22	0.15	0.23	0.11	0.18	0.12	0.15	0.09	0.1	0.19	0.14	0.22
2.24	0.18	0.24	0.12	0.17	0.14	0.15	0.11	0.1	0.17	0.14	0.21
2.27	0.16	0.26	0.11	0.17	0.12	0.16	0.1	0.09	0.18	0.13	0.21
2.29	0.16	0.24	0.11	0.18	0.12	0.15	0.1	0.09	0.19	0.13	0.21
2.31	0.17	0.23	0.13	0.17	0.13	0.15	0.11	0.09	0.16	0.15	0.2
2.34	0.15	0.26	0.12	0.17	0.12	0.16	0.09	0.09	0.17	0.13	0.22
2.36	0.15	0.25	0.12	0.19	0.12	0.15	0.09	0.09	0.18	0.13	0.22
2.39	0.16	0.23	0.13	0.19	0.12	0.14	0.09	0.09	0.17	0.15	0.21
2.41	0.15	0.26	0.12	0.17	0.13	0.17	0.1	0.11	0.16	0.13	0.22
2.44	0.15	0.26	0.12	0.19	0.12	0.17	0.09	0.1	0.18	0.13	0.22
2.46	0.15	0.23	0.12	0.19	0.12	0.15	0.09	0.1	0.18	0.13	0.22
2.49	0.16	0.25	0.12	0.17	0.13	0.17	0.11	0.11	0.16	0.14	0.22
2.51	0.15	0.26	0.12	0.18	0.12	0.17	0.1	0.09	0.18	0.13	0.22
2.53	0.15	0.23	0.12	0.19	0.12	0.14	0.1	0.09	0.19	0.13	0.22
2.56	0.17	0.23	0.13	0.17	0.15	0.15	0.11	0.09	0.17	0.15	0.21
2.58	0.16	0.26	0.12	0.17	0.14	0.16	0.1	0.09	0.18	0.14	0.22
2.61	0.16	0.24	0.13	0.19	0.14	0.15	0.1	0.09	0.19	0.14	0.22
