#U1	H	C	F	X	E	A	L	M	B	G	D
27.98	10	0.21	1.41	2.08	4.24	3.92	8.23	5.84	6.13	0.6	10.07
28	9.98	0.23	1.39	2.13	4.22	3.89	8.27	5.82	6.12	0.6	10.13
28.03	9.98	0.21	1.41	2.1	4.22	3.93	8.29	5.84	6.15	0.63	10.18
28.05	10.04	0.21	1.45	2.07	4.25	3.96	8.27	5.87	6.18	0.62	10.15
28.08	10.04	0.23	1.44	2.12	4.25	3.94	8.3	5.85	6.17	0.62	10.19
28.1	10.03	0.22	1.44	2.14	4.23	3.95	8.33	5.87	6.19	0.65	10.26
28.13	10.08	0.22	1.49	2.1	4.27	4	8.31	5.9	6.24	0.65	10.24
28.15	10.1	0.23	1.5	2.13	4.29	3.98	8.32	5.9	6.23	0.63	10.26
28.18	10.07	0.22	1.49	2.16	4.25	3.98	8.37	5.9	6.24	0.66	10.33
28.2	10.11	0.22	1.53	2.13	4.27	4.02	8.37	5.93	6.29	0.68	10.33
28.22	10.15	0.22	1.55	2.13	4.31	4.02	8.36	5.94	6.3	0.65	10.32
28.25	10.11	0.23	1.53	2.18	4.29	4	8.41	5.93	6.28	0.67	10.39
28.27	10.12	0.21	1.56	2.16	4.29	4.05	8.42	5.96	6.31	0.7	10.41
28.3	10.17	0.21	1.6	2.14	4.32	4.06	8.4	5.97	6.34	0.69	10.38
28.32	10.16	0.23	1.59	2.19	4.33	4.04	8.44	5.95	6.33	0.68	10.44
28.35	10.16	0.21	1.6	2.2	4.3	4.06	8.46	5.98	6.35	0.71	10.49
28.37	10.21	0.21	1.64	2.16	4.34	4.1	8.45	6.01	6.39	0.71	10.47
28.4	10.22	0.23	1.63	2.21	4.35	4.07	8.46	5.99	6.38	0.7	10.5
28.42	10.2	0.22	1.64	2.23	4.33	4.08	8.5	6	6.39	0.73	10.57
28.44	10.24	0.22	1.68	2.2	4.35	4.13	8.49	6.04	6.44	0.74	10.55
28.47	10.28	0.22	1.69	2.22	4.37	4.14	8.49	6.04	6.44	0.72	10.55
28.49	10.26	0.23	1.69	2.26	4.35	4.13	8.54	6.03	6.44	0.74	10.62
28.52	10.28	0.22	1.72	2.23	4.35	4.18	8.54	6.06	6.48	0.75	10.63
28.54	10.32	0.21	1.75	2.22	4.37	4.18	8.52	6.07	6.5	0.72	10.61
28.57	10.3	0.24	1.73	2.26	4.35	4.18	8.57	6.05	6.48	0.73	10.68
28.59	10.3	0.22	1.76	2.26	4.34	4.22	8.58	6.08	6.51	0.77	10.72
28.62	10.35	0.22	1.8	2.23	4.38	4.24	8.57	6.08	6.54	0.76	10.69
28.64	10.35	0.23	1.79	2.28	4.38	4.21	8.59	6.06	6.52	0.75	10.73
28.66	10.34	0.22	1.8	2.29	4.36	4.23	8.63	6.08	6.53	0.79	10.79
28.69	10.39	0.22	1.85	2.29	4.38	4.28	8.61	6.11	6.58	0.79	10.76
28.71	10.4	0.23	1.86	2.32	4.4	4.25	8.62	6.09	6.57	0.77	10.77
28.74	10.38	0.23	1.85	2.35	4.38	4.26	8.67	6.09	6.56	0.8	10.85
28.76	10.42	0.22	1.9	2.31	4.39	4.31	8.66	6.13	6.6	0.81	10.84
28.79	10.46	0.22	1.91	2.31	4.41	4.3	8.66	6.13	6.61	0.79	10.83
28.81	10.43	0.24	1.9	2.36	4.39	4.28	8.7	6.11	6.59	0.81	10.89
28.84	10.44	0.22	1.94	2.34	4.39	4.32	8.7	6.14	6.63	0.84	10.91
28.86	10.49	0.22	1.98	2.33	4.42	4.34	8.68	6.16	6.65	0.82	10.88
28.88	10.48	0.24	1.96	2.38	4.41	4.31	8.72	6.14	6.63	0.82	10.94
28.91	10.5	0.22	1.98	2.39	4.38	4.34	8.74	6.16	6.65	0.86	11
28.93	10.55	0.22	2.02	2.35	4.42	4.37	8.72	6.19	6.7	0.86	10.96
28.96	10.56	0.23	2	2.38	4.43	4.35	8.74	6.17	6.68	0.84	10.99
28.98	10.54	0.23	2.01	2.41	4.4	4.36	8.78	6.18	6.68	0.88	11.05
29.01	10.58	0.23	2.05	2.35	4.43	4.4	8.77	6.21	6.74	0.89	11.03
29.03	10.61	0.25	2.06	2.42	4.46	4.35	8.77	6.2	6.69	0.88	11.05
29.05	10.59	0.24	2.05	2.42	4.43	4.39	8.81	6.19	6.71	0.9	11.08
29.08	10.61	0.22	2.08	2.37	4.43	4.44	8.81	6.23	6.76	0.93	11.09
29.1	10.65	0.25	2.11	2.41	4.47	4.39	8.79	6.23	6.74	0.91	11.11
29.13	10.63	0.25	2.09	2.45	4.45	4.38	8.84	6.21	6.73	0.92	11.14
29.15	10.63	0.23	2.11	2.39	4.45	4.44	8.85	6.24	6.79	0.95	11.15
29.18	10.69	0.24	2.15	2.42	4.49	4.39	8.83	6.26	6.78	0.97	11.16
29.2	10.69	0.26	2.14	2.48	4.5	4.36	8.86	6.24	6.75	0.96	11.19
29.23	10.67	0.23	2.15	2.44	4.48	4.44	8.89	6.25	6.8	1	11.21
29.25	10.72	0.24	2.18	2.41	4.51	4.43	8.87	6.29	6.83	1	11.22
29.27	10.74	0.26	2.18	2.48	4.53	4.39	8.88	6.29	6.78	0.98	11.24
29.3	10.73	0.25	2.16	2.46	4.5	4.43	8.93	6.29	6.82	1.02	11.28
29.32	10.76	0.23	2.2	2.42	4.52	4.47	8.92	6.33	6.88	1.03	11.28
29.35	10.79	0.26	2.21	2.48	4.56	4.42	8.91	6.33	6.84	1.02	11.31
29.37	10.76	0.25	2.2	2.5	4.54	4.45	8.95	6.32	6.84	1.03	11.33
29.4	10.78	0.23	2.23	2.44	4.53	4.5	8.96	6.35	6.9	1.07	11.34
29.42	10.82	0.25	2.26	2.48	4.57	4.47	8.95	6.36	6.89	1.06	11.35
29.45	10.81	0.26	2.24	2.53	4.58	4.45	8.98	6.34	6.87	1.05	11.39
29.47	10.81	0.23	2.24	2.47	4.56	4.52	9.01	6.37	6.93	1.09	11.4
29.49	10.86	0.25	2.27	2.47	4.6	4.51	8.99	6.4	6.94	1.08	11.41
29.52	10.87	0.27	2.25	2.54	4.61	4.47	9	6.37	6.9	1.07	11.44
29.54	10.85	0.25	2.25	2.51	4.6	4.53	9.04	6.38	6.94	1.11	11.46
29.57	10.89	0.25	2.29	2.47	4.62	4.55	9.02	6.42	6.99	1.12	11.46
29.59	10.91	0.27	2.3	2.54	4.65	4.5	9.02	6.41	6.94	1.1	11.49
29.62	10.89	0.26	2.28	2.54	4.63	4.54	9.06	6.4	6.96	1.13	11.52
29.64	10.91	0.24	2.31	2.49	4.63	4.59	9.06	6.44	7.02	1.15	11.5
29.67	10.95	0.27	2.33	2.55	4.67	4.54	9.05	6.45	6.98	1.13	11.56
29.69	10.93	0.25	2.31	2.54	4.66	4.58	9.09	6.43	7.01	1.14	11.59
29.71	10.93	0.25	2.32	2.52	4.65	4.6	9.1	6.45	7.04	1.18	11.56
29.74	10.98	0.27	2.35	2.56	4.69	4.57	9.09	6.47	7.02	1.17	11.59
29.76	10.98	0.26	2.33	2.57	4.69	4.6	9.11	6.45	7.03	1.17	11.65
29.79	10.97	0.26	2.33	2.53	4.67	4.63	9.14	6.47	7.07	1.2	11.62
29.81	11.01	0.27	2.37	2.56	4.69	4.6	9.12	6.5	7.06	1.21	11.63
29.84	11.02	0.27	2.36	2.59	4.71	4.63	9.13	6.48	7.06	1.19	11.71
29.86	11	0.26	2.35	2.55	4.69	4.67	9.17	6.48	7.1	1.22	11.7
29.89	11.03	0.26	2.38	2.55	4.7	4.66	9.16	6.52	7.11	1.24	11.68
29.91	11.07	0.28	2.4	2.61	4.74	4.65	9.16	6.51	7.1	1.22	11.73
29.93	11.04	0.26	2.37	2.58	4.72	4.69	9.19	6.5	7.13	1.24	11.75
29.96	11.06	0.26	2.4	2.56	4.72	4.7	9.2	6.54	7.15	1.27	11.72
29.98	11.1	0.28	2.42	2.61	4.75	4.67	9.18	6.55	7.12	1.25	11.77
30.01	11.09	0.26	2.4	2.6	4.75	4.69	9.21	6.52	7.14	1.25	11.82
30.03	11.09	0.26	2.4	2.57	4.73	4.72	9.23	6.54	7.19	1.29	11.78
30.06	11.13	0.28	2.44	2.61	4.77	4.69	9.21	6.57	7.17	1.29	11.8
30.08	11.14	0.27	2.42	2.62	4.78	4.7	9.22	6.55	7.17	1.28	11.86
30.1	11.12	0.27	2.42	2.6	4.75	4.75	9.26	6.56	7.21	1.32	11.84
30.13	11.16	0.27	2.45	2.61	4.77	4.72	9.25	6.59	7.22	1.34	11.84
30.15	11.18	0.28	2.46	2.65	4.78	4.72	9.24	6.58	7.19	1.32	11.91
30.18	11.16	0.26	2.43	2.61	4.76	4.76	9.29	6.57	7.23	1.34	11.9
30.2	11.19	0.26	2.46	2.61	4.76	4.76	9.29	6.61	7.25	1.37	11.88
30.23	11.23	0.29	2.48	2.65	4.8	4.73	9.27	6.6	7.23	1.35	11.93
30.25	11.22	0.26	2.46	2.64	4.79	4.77	9.31	6.58	7.26	1.36	11.96
30.28	11.22	0.26	2.47	2.62	4.77	4.78	9.32	6.61	7.28	1.4	11.93
30.3	11.27	0.29	2.51	2.67	4.81	4.75	9.31	6.63	7.26	1.39	11.96
30.32	11.26	0.27	2.48	2.68	4.82	4.78	9.33	6.61	7.27	1.38	12.02
30.35	11.25	0.27	2.48	2.63	4.8	4.82	9.36	6.63	7.31	1.42	11.99
30.37	11.29	0.29	2.51	2.66	4.83	4.79	9.34	6.65	7.3	1.42	12
30.4	11.31	0.28	2.5	2.69	4.84	4.79	9.35	6.64	7.29	1.41	12.06
30.42	11.29	0.27	2.5	2.65	4.82	4.83	9.39	6.64	7.31	1.44	12.05
30.45	11.32	0.27	2.53	2.66	4.83	4.82	9.38	6.67	7.32	1.46	12.03
30.47	11.36	0.29	2.53	2.7	4.87	4.81	9.37	6.67	7.3	1.44	12.09
30.5	11.33	0.27	2.51	2.67	4.84	4.85	9.41	6.66	7.32	1.46	12.11
30.52	11.34	0.27	2.53	2.66	4.83	4.85	9.42	6.69	7.35	1.49	12.08
30.54	11.39	0.29	2.55	2.7	4.86	4.82	9.4	6.7	7.33	1.48	12.13
30.57	11.37	0.27	2.52	2.7	4.85	4.85	9.42	6.68	7.34	1.48	12.17
30.59	11.37	0.27	2.53	2.67	4.83	4.87	9.45	6.71	7.39	1.52	12.14
30.62	11.41	0.29	2.57	2.72	4.85	4.84	9.43	6.73	7.37	1.52	12.15
30.64	11.42	0.28	2.56	2.73	4.86	4.86	9.45	6.71	7.37	1.51	12.21
30.67	11.4	0.27	2.54	2.69	4.83	4.9	9.49	6.72	7.4	1.54	12.19
30.69	11.44	0.28	2.57	2.71	4.84	4.87	9.47	6.76	7.4	1.54	12.18
30.72	11.46	0.29	2.56	2.75	4.87	4.87	9.47	6.74	7.38	1.53	12.24
30.74	11.44	0.27	2.54	2.71	4.84	4.91	9.51	6.74	7.42	1.55	12.24
30.76	11.46	0.27	2.57	2.71	4.84	4.9	9.5	6.77	7.44	1.57	12.21
30.79	11.5	0.3	2.58	2.75	4.87	4.88	9.48	6.78	7.41	1.55	12.28
30.81	11.48	0.27	2.56	2.73	4.85	4.92	9.52	6.76	7.43	1.56	12.3
30.84	11.48	0.27	2.57	2.71	4.82	4.93	9.53	6.78	7.47	1.6	12.25
30.86	11.52	0.3	2.59	2.75	4.82	4.91	9.51	6.8	7.44	1.59	12.28
30.89	11.51	0.28	2.57	2.76	4.78	4.94	9.53	6.78	7.44	1.58	12.32
30.91	11.51	0.28	2.57	2.72	4.72	4.96	9.56	6.8	7.48	1.62	12.29
30.94	11.55	0.3	2.6	2.75	4.7	4.94	9.55	6.83	7.48	1.62	12.29
30.96	11.56	0.31	2.59	2.77	4.68	4.94	9.55	6.8	7.47	1.6	12.35
30.98	11.54	0.29	2.58	2.73	4.59	4.98	9.59	6.81	7.51	1.62	12.34
31.01	11.57	0.29	2.61	2.74	4.56	4.96	9.57	6.84	7.51	1.64	12.31
31.03	11.6	0.31	2.62	2.79	4.56	4.94	9.57	6.83	7.49	1.62	12.37
31.06	11.57	0.29	2.59	2.76	4.49	4.99	9.61	6.82	7.52	1.64	12.37
31.08	11.58	0.29	2.61	2.75	4.44	4.99	9.61	6.85	7.57	1.67	12.33
31.11	11.62	0.31	2.64	2.79	4.43	4.96	9.59	6.87	7.54	1.65	12.37
31.13	11.61	0.29	2.61	2.79	4.39	5	9.63	6.84	7.55	1.65	12.4
31.15	11.6	0.29	2.62	2.76	4.33	5.01	9.65	6.86	7.59	1.68	12.36
31.18	11.64	0.31	2.65	2.79	4.32	4.99	9.62	6.88	7.56	1.67	12.37
31.2	11.64	0.31	2.64	2.81	4.3	5	9.64	6.84	7.55	1.65	12.42
31.23	11.62	0.3	2.63	2.77	4.23	5.03	9.67	6.85	7.59	1.69	12.39
31.25	11.66	0.31	2.67	2.79	4.21	5	9.65	6.88	7.59	1.69	12.37
31.28	11.67	0.32	2.66	2.82	4.2	5	9.65	6.87	7.55	1.67	12.43
31.3	11.65	0.3	2.63	2.78	4.14	5.04	9.69	6.87	7.58	1.7	12.42
31.33	11.67	0.3	2.67	2.78	4.1	5.03	9.69	6.9	7.6	1.71	12.37
31.35	11.7	0.32	2.68	2.82	4.1	5.01	9.67	6.89	7.56	1.7	12.41
31.37	11.68	0.3	2.66	2.8	4.05	5.04	9.71	6.87	7.57	1.7	12.42
31.4	11.68	0.3	2.67	2.78	4	5.05	9.72	6.9	7.6	1.73	12.33
31.42	11.73	0.32	2.7	2.82	4	5.02	9.69	6.91	7.57	1.71	12.34
31.45	11.72	0.29	2.67	2.79	3.96	5.07	9.72	6.88	7.57	1.71	12.4
31.47	11.7	0.3	2.66	2.77	3.91	5.04	9.75	6.9	7.6	1.74	12.36
31.5	11.74	0.33	2.7	2.84	3.91	5	9.7	6.94	7.53	1.74	12.36
31.52	11.75	0.31	2.69	2.82	3.93	5.04	9.71	6.91	7.55	1.72	12.36
31.55	11.72	0.29	2.68	2.77	3.9	5.06	9.75	6.91	7.59	1.74	12.33
31.57	11.74	0.32	2.71	2.83	3.89	5.01	9.73	6.94	7.54	1.76	12.32
31.59	11.77	0.3	2.71	2.84	3.93	5.04	9.72	6.93	7.51	1.73	12.31
31.62	11.74	0.28	2.69	2.78	3.92	5.07	9.76	6.92	7.56	1.75	12.28
31.64	11.74	0.3	2.71	2.81	3.91	5.02	9.76	6.95	7.53	1.77	12.26
31.67	11.78	0.31	2.73	2.84	3.94	5.01	9.73	6.95	7.48	1.75	12.26
31.69	11.76	0.28	2.69	2.78	3.93	5.06	9.76	6.93	7.51	1.75	12.24
31.72	11.75	0.31	2.7	2.79	3.9	5.03	9.77	6.95	7.51	1.78	12.21
31.74	11.79	0.33	2.73	2.85	3.92	4.99	9.75	6.97	7.45	1.77	12.2
31.77	11.78	0.3	2.71	2.8	3.93	5.05	9.76	6.94	7.46	1.76	12.18
31.79	11.74	0.3	2.69	2.77	3.89	5.03	9.79	6.95	7.48	1.79	12.13
31.81	11.77	0.33	2.72	2.83	3.9	4.98	9.76	6.98	7.42	1.79	12.12
31.84	11.79	0.31	2.71	2.81	3.92	5.01	9.76	6.96	7.4	1.77	12.09
31.86	11.75	0.29	2.69	2.76	3.89	5.03	9.79	6.96	7.44	1.79	12.05
31.89	11.76	0.32	2.72	2.8	3.88	4.97	9.77	6.99	7.39	1.8	12.02
31.91	11.78	0.31	2.72	2.82	3.9	4.99	9.74	6.98	7.35	1.77	12.01
31.94	11.75	0.28	2.7	2.75	3.88	5.02	9.77	6.95	7.39	1.78	11.97
31.96	11.74	0.31	2.71	2.78	3.86	4.97	9.77	6.98	7.37	1.81	11.93
31.99	11.76	0.33	2.73	2.82	3.88	4.94	9.73	6.98	7.3	1.79	11.91
32.01	11.74	0.3	2.7	2.76	3.88	4.99	9.74	6.96	7.32	1.78	11.9
32.03	11.71	0.31	2.71	2.74	3.84	4.96	9.75	6.97	7.33	1.81	11.85
32.06	11.73	0.34	2.74	2.8	3.85	4.91	9.72	6.99	7.25	1.81	11.83
32.08	11.72	0.31	2.72	2.76	3.86	4.95	9.71	6.96	7.24	1.78	11.78
32.11	11.67	0.32	2.7	2.75	3.82	4.92	9.73	6.96	7.24	1.81	11.71
32.13	11.68	0.34	2.73	2.78	3.81	4.9	9.7	6.98	7.19	1.82	11.72
32.16	11.69	0.31	2.73	2.73	3.84	4.92	9.69	6.95	7.19	1.79	11.68
32.18	11.63	0.31	2.7	2.71	3.81	4.9	9.71	6.93	7.19	1.8	11.59
32.2	11.62	0.34	2.72	2.75	3.79	4.84	9.69	6.95	7.13	1.82	11.58
32.23	11.64	0.32	2.74	2.73	3.81	4.86	9.65	6.94	7.11	1.78	11.57
32.25	11.59	0.32	2.7	2.69	3.8	4.86	9.66	6.91	7.1	1.78	11.48
32.28	11.55	0.34	2.71	2.72	3.75	4.81	9.66	6.92	7.06	1.8	11.43
32.3	11.56	0.33	2.73	2.72	3.77	4.81	9.61	6.92	7.01	1.79	11.43
32.33	11.53	0.32	2.7	2.67	3.78	4.82	9.6	6.89	7.02	1.77	11.33
32.35	11.47	0.33	2.69	2.68	3.74	4.77	9.61	6.87	6.99	1.8	11.26
32.38	11.48	0.34	2.72	2.69	3.75	4.75	9.56	6.88	6.93	1.8	11.27
32.4	11.46	0.32	2.71	2.65	3.78	4.77	9.53	6.85	6.92	1.76	11.21
32.42	11.4	0.32	2.67	2.63	3.74	4.72	9.54	6.83	6.91	1.77	11.11
32.45	11.38	0.34	2.7	2.66	3.73	4.68	9.5	6.84	6.84	1.79	11.1
32.47	11.38	0.32	2.7	2.63	3.76	4.7	9.46	6.82	6.82	1.76	11.06
32.5	11.32	0.32	2.67	2.59	3.74	4.68	9.46	6.77	6.82	1.76	10.95
32.52	11.28	0.34	2.68	2.63	3.71	4.62	9.44	6.79	6.76	1.78	10.92
32.55	11.28	0.33	2.71	2.61	3.73	4.63	9.38	6.77	6.72	1.75	10.91
32.57	11.23	0.33	2.67	2.56	3.73	4.63	9.37	6.73	6.71	1.74	10.8
32.6	11.17	0.34	2.66	2.58	3.69	4.57	9.37	6.73	6.66	1.77	10.73
32.62	11.17	0.34	2.69	2.58	3.7	4.55	9.31	6.72	6.6	1.75	10.73
32.64	11.13	0.33	2.66	2.53	3.7	4.56	9.28	6.67	6.59	1.72	10.65
32.67	11.06	0.33	2.65	2.53	3.67	4.51	9.28	6.65	6.56	1.74	10.55
32.69	11.04	0.34	2.67	2.55	3.66	4.48	9.23	6.65	6.49	1.75	10.55
32.72	11.02	0.31	2.66	2.51	3.68	4.49	9.18	6.61	6.48	1.71	10.49
32.74	10.94	0.31	2.64	2.48	3.65	4.46	9.18	6.58	6.46	1.72	10.38
32.77	10.9	0.34	2.65	2.51	3.63	4.41	9.14	6.57	6.4	1.74	10.35
32.79	10.89	0.31	2.66	2.49	3.66	4.42	9.07	6.55	6.36	1.7	10.32
32.82	10.82	0.31	2.62	2.44	3.64	4.4	9.06	6.5	6.36	1.69	10.2
32.84	10.77	0.34	2.61	2.47	3.59	4.34	9.04	6.5	6.3	1.72	10.14
32.86	10.75	0.33	2.64	2.46	3.6	4.33	8.97	6.48	6.25	1.7	10.13
32.89	10.7	0.32	2.61	2.4	3.6	4.34	8.94	6.43	6.24	1.69	10.03
32.91	10.62	0.33	2.58	2.41	3.56	4.27	8.93	6.41	6.21	1.71	9.95
32.94	10.6	0.34	2.61	2.42	3.56	4.24	8.86	6.41	6.14	1.71	9.94
32.96	10.56	0.32	2.59	2.37	3.57	4.25	8.81	6.36	6.12	1.68	9.87
32.99	10.47	0.32	2.55	2.35	3.53	4.2	8.8	6.32	6.09	1.69	9.75
33.01	10.43	0.34	2.57	2.38	3.51	4.16	8.75	6.32	6.02	1.69	9.73
33.04	10.41	0.31	2.57	2.34	3.52	4.17	8.68	6.28	5.99	1.66	9.68
33.06	10.33	0.31	2.53	2.31	3.5	4.15	8.68	6.23	5.98	1.65	9.56
33.08	10.27	0.34	2.53	2.33	3.46	4.09	8.64	6.22	5.91	1.68	9.52
33.11	10.26	0.32	2.54	2.31	3.48	4.09	8.57	6.2	5.86	1.65	9.5
33.13	10.19	0.32	2.51	2.26	3.47	4.07	8.54	6.14	5.86	1.62	9.39
33.16	10.11	0.33	2.48	2.28	3.42	4.01	8.52	6.12	5.81	1.65	9.31
33.18	10.09	0.33	2.5	2.27	3.43	4	8.44	6.11	5.75	1.63	9.3
33.21	10.03	0.31	2.47	2.22	3.43	4	8.39	6.05	5.73	1.6	9.21
33.23	9.94	0.32	2.44	2.22	3.39	3.94	8.38	6.02	5.7	1.61	9.11
33.26	9.9	0.33	2.46	2.24	3.37	3.91	8.31	6.01	5.63	1.61	9.09
33.28	9.86	0.31	2.45	2.18	3.39	3.91	8.24	5.96	5.6	1.58	9.02
33.3	9.77	0.31	2.4	2.16	3.35	3.88	8.23	5.92	5.58	1.58	8.89
33.33	9.71	0.33	2.4	2.18	3.31	3.82	8.17	5.91	5.52	1.59	8.86
33.35	9.69	0.32	2.41	2.15	3.33	3.83	8.09	5.87	5.47	1.56	8.82
33.38	9.61	0.32	2.36	2.1	3.3	3.81	8.07	5.81	5.47	1.55	8.7
33.4	9.53	0.33	2.34	2.13	3.25	3.75	8.04	5.79	5.41	1.57	8.64
33.43	9.48	0.33	2.35	2.12	3.26	3.73	7.96	5.77	5.35	1.54	8.62
33.45	9.42	0.31	2.33	2.06	3.25	3.73	7.91	5.71	5.34	1.52	8.51
33.47	9.32	0.32	2.3	2.07	3.21	3.67	7.89	5.68	5.29	1.54	8.42
33.5	9.28	0.32	2.31	2.08	3.21	3.64	7.81	5.67	5.22	1.53	8.41
33.52	9.23	0.3	2.29	2.02	3.21	3.64	7.75	5.61	5.2	1.47	8.33
33.55	9.14	0.3	2.24	2.01	3.16	3.59	7.73	5.57	5.18	1.48	8.21
33.57	9.09	0.33	2.26	2.03	3.14	3.54	7.67	5.55	5.1	1.48	8.18
33.6	9.05	0.3	2.25	1.98	3.16	3.55	7.59	5.5	5.06	1.44	8.13
33.62	8.96	0.3	2.2	1.95	3.12	3.52	7.57	5.44	5.06	1.43	8
33.65	8.89	0.32	2.2	1.98	3.09	3.45	7.52	5.43	4.99	1.44	7.95
33.67	8.87	0.31	2.21	1.96	3.09	3.45	7.44	5.4	4.94	1.42	7.93
33.69	8.79	0.31	2.17	1.9	3.08	3.44	7.41	5.34	4.93	1.4	7.81
33.72	8.7	0.32	2.15	1.92	3.03	3.37	7.37	5.31	4.88	1.41	7.73
33.74	8.66	0.32	2.16	1.92	3.03	3.35	7.28	5.3	4.8	1.39	7.71
33.77	8.6	0.3	2.14	1.86	3.02	3.35	7.23	5.23	4.79	1.36	7.62
33.79	8.5	0.3	2.1	1.85	2.97	3.29	7.21	5.19	4.75	1.37	7.5
33.82	8.46	0.32	2.12	1.87	2.95	3.25	7.13	5.18	4.67	1.37	7.48
33.84	8.41	0.3	2.1	1.81	2.95	3.26	7.06	5.12	4.65	1.32	7.42
33.87	8.32	0.3	2.06	1.79	2.91	3.21	7.04	5.06	4.63	1.33	7.29
33.89	8.25	0.32	2.06	1.82	2.87	3.16	6.98	5.05	4.54	1.34	7.26
33.91	8.22	0.29	2.06	1.74	2.88	3.18	6.89	5.01	4.54	1.3	7.21
33.94	8.13	0.3	2.02	1.74	2.85	3.12	6.86	4.95	4.52	1.29	7.13
33.96	8.06	0.32	2.01	1.78	2.8	3.07	6.82	4.93	4.42	1.3	7.07
33.99	8.03	0.3	2.03	1.71	2.81	3.1	6.74	4.9	4.39	1.28	7.01
34.01	7.96	0.29	1.99	1.67	2.8	3.04	6.69	4.84	4.39	1.25	6.92
34.04	7.86	0.32	1.97	1.72	2.75	2.97	6.66	4.81	4.31	1.26	6.86
34.06	7.82	0.3	1.98	1.67	2.73	2.98	6.58	4.8	4.25	1.25	6.8
34.09	7.79	0.28	1.96	1.6	2.74	2.97	6.52	4.73	4.27	1.21	6.72
34.11	7.69	0.31	1.91	1.64	2.69	2.88	6.49	4.68	4.2	1.22	6.65
34.13	7.63	0.31	1.92	1.64	2.66	2.88	6.42	4.67	4.11	1.22	6.6
34.16	7.6	0.28	1.92	1.56	2.67	2.89	6.34	4.61	4.11	1.18	6.52
34.18	7.5	0.3	1.88	1.57	2.65	2.81	6.32	4.56	4.08	1.2	6.44
34.21	7.43	0.31	1.87	1.6	2.62	2.77	6.27	4.54	3.98	1.21	6.4
34.23	7.4	0.28	1.88	1.52	2.65	2.8	6.18	4.51	3.97	1.18	6.33
34.26	7.32	0.29	1.83	1.5	2.64	2.74	6.15	4.44	3.97	1.16	6.24
34.28	7.23	0.32	1.81	1.54	2.6	2.68	6.12	4.42	3.88	1.18	6.18
34.31	7.2	0.29	1.83	1.49	2.62	2.71	6.03	4.39	3.83	1.16	6.14
34.33	7.14	0.27	1.79	1.44	2.64	2.67	5.97	4.33	3.84	1.12	6.06
34.35	7.03	0.31	1.76	1.49	2.61	2.59	5.95	4.29	3.77	1.13	5.99
34.38	6.99	0.29	1.77	1.45	2.6	2.59	5.87	4.27	3.7	1.13	5.94
34.4	6.94	0.27	1.75	1.38	2.62	2.6	5.8	4.21	3.72	1.1	5.86
34.43	6.84	0.29	1.71	1.41	2.61	2.51	5.77	4.16	3.67	1.09	5.79
34.45	6.78	0.3	1.71	1.43	2.59	2.5	5.71	4.15	3.58	1.1	5.74
34.48	6.75	0.27	1.71	1.34	2.62	2.52	5.63	4.11	3.58	1.07	5.68
34.5	6.67	0.29	1.67	1.35	2.62	2.46	5.61	4.05	3.56	1.06	5.59
34.52	6.59	0.31	1.65	1.38	2.59	2.38	5.56	4.03	3.46	1.07	5.58
34.55	6.56	0.28	1.66	1.3	2.62	2.4	5.48	4	3.45	1.04	5.47
34.57	6.49	0.29	1.63	1.31	2.63	2.34	5.44	3.94	3.42	1.02	5.37
34.6	6.4	0.29	1.6	1.32	2.6	2.31	5.42	3.9	3.34	1.03	5.37
34.62	6.36	0.28	1.61	1.27	2.6	2.32	5.33	3.88	3.33	1.02	5.31
34.65	6.31	0.28	1.58	1.25	2.63	2.27	5.27	3.82	3.31	0.98	5.19
34.67	6.21	0.3	1.54	1.28	2.6	2.23	5.25	3.78	3.24	0.99	5.17
34.7	6.16	0.27	1.55	1.23	2.59	2.24	5.19	3.76	3.19	0.99	5.13
34.72	6.12	0.27	1.54	1.19	2.62	2.2	5.11	3.72	3.19	0.95	5.01
34.74	6.03	0.29	1.49	1.22	2.6	2.14	5.08	3.64	3.12	0.95	4.97
34.77	5.97	0.27	1.48	1.19	2.57	2.15	5.04	3.63	3.07	0.96	4.95
34.79	5.94	0.27	1.49	1.13	2.59	2.13	4.97	3.6	3.07	0.93	4.85
34.82	5.87	0.29	1.45	1.15	2.6	2.07	4.93	3.53	3.03	0.91	4.78
34.84	5.79	0.29	1.42	1.15	2.55	2.05	4.9	3.51	2.97	0.93	4.78
34.87	5.76	0.28	1.44	1.09	2.55	2.06	4.82	3.49	2.96	0.91	4.7
34.89	5.71	0.28	1.41	1.09	2.54	1.99	4.77	3.42	2.93	0.87	4.59
34.92	5.61	0.29	1.37	1.11	2.49	1.96	4.75	3.39	2.86	0.89	4.59
34.94	5.56	0.27	1.39	1.05	2.47	1.97	4.67	3.38	2.84	0.88	4.53
34.96	5.53	0.27	1.37	1.03	2.48	1.93	4.61	3.33	2.84	0.84	4.42
34.99	5.44	0.29	1.33	1.05	2.43	1.88	4.59	3.28	2.77	0.84	4.4
35.01	5.38	0.27	1.33	1.01	2.39	1.89	4.55	3.27	2.72	0.86	4.38
35.04	5.36	0.27	1.33	0.98	2.4	1.87	4.47	3.24	2.73	0.82	4.27
35.06	5.28	0.28	1.29	1	2.38	1.81	4.44	3.18	2.68	0.8	4.22
35.09	5.21	0.28	1.27	0.99	2.32	1.8	4.41	3.16	2.62	0.82	4.22
